countryName,longitude,lattitude,total_cases,active_cases,total_deaths,total_recoveries
US,-100.0,40.0,1576886,1180723,94688,298418
Russia,105.3188,61.524,317554,221774,3099,92681
Brazil,-51.9253,-14.235,310087,164080,20047,125960
United Kingdom,-3.0,55.0,252246,214988,36124,1134
Spain,-3.74922,40.463667,233037,54721,27940,150376
Italy,12.5674,41.8719,228006,60960,32486,134560
France,2.2137,46.2276,181951,89757,28218,63976
Germany,10.451526,51.165691,179021,12731,8203,158087
Turkey,35.2433,38.9637,153548,34309,4249,114990
Iran,53.688046,32.427908,129341,21528,7249,100564
India,78.96288,20.593684,118226,66089,3584,48553
Peru,-75.0152,-9.19,108769,62034,3148,43587
China,114.3055,30.5928,84063,115,4638,79310
Canada,-95.001,60.001,82742,34744,6267,41731
Saudi Arabia,45.079162,23.885942,65077,28686,351,36040
Mexico,-102.5528,23.6345,59567,12905,6510,40152
Chile,-71.543,-35.6751,57581,33000,589,23992
Belgium,4.469936,50.8333,56235,32061,9186,14988
Pakistan,69.3451,30.3753,48091,32919,1017,14155
Netherlands,5.55,52.3167,44900,38937,5794,169
Qatar,51.1839,25.3548,38651,31346,17,7288
Ecuador,-78.1834,-1.8312,35306,28810,2939,3557
Belarus,27.9534,53.7098,33371,21129,185,12057
Sweden,18.6435,60.1282,32172,23330,3871,4971
Switzerland,8.2275,46.8182,30694,896,1898,27900
Portugal,-8.2245,39.3999,29912,22183,1277,6452
Singapore,103.8333,1.2833,29812,17672,23,12117
Bangladesh,90.3563,23.685,28511,22501,408,5602
United Arab Emirates,53.847818,23.424076,26898,13906,237,12755
Ireland,-7.6921,53.1424,24391,1748,1583,21060
Indonesia,113.9213,-0.7893,20162,14046,1278,4838
Poland,19.1451,51.9194,20143,10719,972,8452
Ukraine,31.1656,48.3794,19706,12900,579,6227
South Africa,22.9375,-30.5595,19137,9818,369,8950
Kuwait,47.481766,29.31166,18609,13275,129,5205
Colombia,-74.2973,4.5709,18330,13247,652,4431
Romania,24.9668,45.9432,17585,5848,1156,10581
Israel,34.851612,31.046051,16683,2680,279,13724
Austria,14.5501,47.5162,16404,820,633,14951
Japan,138.252924,36.204824,16385,3328,771,12286
Egypt,30.802498,26.820553,15003,10090,696,4217
Dominican Republic,-70.1627,18.7357,13657,5843,448,7366
Philippines,121.774017,12.879721,13434,9588,846,3000
Denmark,9.5018,56.2639,11380,978,561,9841
"Korea, South",127.766922,35.907757,11122,723,264,10135
Serbia,21.0059,44.0165,10919,5312,237,5370
Panama,-80.7821,8.538,10116,3580,291,6245
Argentina,-63.6167,-38.4161,9931,6483,416,3032
Czechia,15.473,49.8175,8754,2522,306,5926
Afghanistan,67.709953,33.93911,8676,7545,193,938
Norway,8.4689,60.472,8309,8042,235,32
Bahrain,50.55,26.0275,8174,4289,12,3873
Algeria,1.6596,28.0339,7728,3091,575,4062
Kazakhstan,66.9237,48.0196,7234,3422,35,3777
Morocco,-7.0926,31.7917,7211,2735,196,4280
Australia,133.0,-25.0,7095,516,101,6478
Malaysia,101.975766,4.210484,7059,1149,114,5796
Nigeria,8.6753,9.082,7016,4898,211,1907
Moldova,28.3699,47.4116,6704,3518,233,2953
Finland,25.7482,61.9241,6493,1387,306,4800
Oman,55.923255,21.512583,6370,4518,31,1821
Ghana,-1.0232,7.9465,6269,4340,31,1898
Armenia,45.0382,40.0691,5606,2955,70,2581
Bolivia,-63.5887,-16.2902,4919,4167,199,553
Cameroon,11.5021,3.848,4288,2324,156,1808
Luxembourg,6.1296,49.8153,3980,130,109,3741
